"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"82","legalPolicy",1,4,9.14379464026831,0.38868030677175,197.258719646799,585.032229580574,2265
"83","legalPolicy",1,5,7.32110234598018,0.504142276751932,204.764238410596,582.121854304636,2265
"84","legalPolicy",1,6,6.10710334702915,0.600623196764664,201.081677704194,578.788079470199,2265
"85","legalPolicy",1,7,5.24646153329289,0.666260182853125,198.3293598234,593.633554083885,2265
"86","legalPolicy",1,8,4.59341868444252,0.704821983014172,201.834878587196,580.302869757174,2265
"87","legalPolicy",1,9,4.07736429776176,0.725157047657502,204.829580573951,584.12229580574,2265
"88","legalPolicy",1,10,3.68431909495933,0.765157071547559,204.297571743929,583.902869757174,2265
"89","legalPolicy",2,0,96.937231118243,11.1838026289925,44.1708609271523,216.689183222958,2265
"90","legalPolicy",2,1,27.8288002184898,0.651219554557245,55.0710816777042,285.788962472406,2265
"91","legalPolicy",2,2,14.094688679604,1.09454084686576,59.2754966887417,310.702869757174,2265
"92","legalPolicy",2,3,9.39960474979429,1.38222381269934,55.6693156732892,274.849006622517,2265
"93","legalPolicy",2,4,7.09088904112366,1.53025947032143,55.6105960264901,285.709933774834,2265
"94","legalPolicy",2,5,5.7217067188032,1.59540160037886,59.8233995584989,336.629580573951,2265
"95","legalPolicy",2,6,4.8282112132935,1.68476754615175,62.432229580574,303.177041942605,2265
"96","legalPolicy",2,7,4.1789866324798,1.7365632278835,59.1562913907285,287.515673289183,2265
"97","legalPolicy",2,8,3.69832174327191,1.75342757650461,55.6101545253863,280.448565121413,2265
"98","legalPolicy",2,9,3.32465395034505,1.75347632437894,70.9655629139073,364.430463576159,2265
"99","legalPolicy",2,10,3.02253632463606,1.78356184712166,57.5187637969095,285.400441501104,2265
"100","sharedResource",0,0,98.684987671965,7.03959329180234,2.64238410596026,252.881236203091,2265
"101","sharedResource",0,1,96.6007816582126,8.00361460469493,2.08344370860927,271.379690949227,2265
"102","sharedResource",0,2,72.4586510343793,5.10131997210715,2.73598233995585,279.112582781457,2265
"103","sharedResource",0,3,48.6042627609226,1.44328663313768,2.41501103752759,276.7646799117,2265
"104","sharedResource",0,4,36.5655458410415,0.589856183921118,2.56865342163355,275.870198675497,2265
