"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","intervention_type",0.372542182996122,0.95,0.370838843438979,1
"2","intervention_intensity",0.581326075388314,0.95,0.538898031553916,1
"3","factor(environmentType)",0.129173359055725,0.95,0.0850325698457659,1
"4","intervention_type:intervention_intensity",0.00992689407886155,0.95,0.00944029112326234,1
"5","intervention_type:factor(environmentType)",0.326674574927939,0.95,0.324933951724624,1
"6","intervention_intensity:factor(environmentType)",0.00887409181270169,0.95,0,1
"7","intervention_type:intervention_intensity:factor(environmentType)",0.209144576860727,0.95,0.207450311681769,1
