"","npar","Sum Sq","Mean Sq","F value"
"intervention_type",5,62926345.3510416,12585269.0702083,172597.507311733
"intervention_intensity",1,49508.1643141726,49508.1643141726,678.967267567879
"factor(environmentType)",2,11670.6465221108,5835.3232610554,80.0270732073959
"intervention_type:intervention_intensity",5,327490.335683766,65498.0671367532,898.256768168806
"intervention_type:factor(environmentType)",10,31372641.7055909,3137264.17055909,43025.2204061893
"intervention_intensity:factor(environmentType)",2,319.248348395801,159.624174197901,2.18912558957275
"intervention_type:intervention_intensity:factor(environmentType)",10,8637781.007456,863778.100745599,11846.0675117442
