"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"30","communityEvent",2,7,1.98589487320952,2.32171249229493,113.359405940594,1.65544554455446,1010
"31","communityEvent",2,8,1.74064165701113,2.30502127041908,121.314851485149,1.43267326732673,1010
"32","communityEvent",2,9,1.57446889892622,2.34915211856734,124.166336633663,1.19108910891089,1010
"33","communityEvent",2,10,1.43880555538894,2.27005634306854,129.829702970297,0.822772277227723,1010
"34","economicIncentive",0,0,95.8256435643564,13.7734654616863,0,0,1010
"35","economicIncentive",0,1,50.7962102276846,7.32250863743827,0,0,1010
"36","economicIncentive",0,2,52.2500083569223,7.95831177262122,0,0,1010
"37","economicIncentive",0,3,50.3729702882429,8.12044318043118,0,0,1010
"38","economicIncentive",0,4,50.5368166861345,7.97810289920771,0,0,1010
"39","economicIncentive",0,5,48.6606315455616,8.5257382670139,0,0,1010
"40","economicIncentive",0,6,49.3579800069811,8.02906893247643,0,0,1010
"41","economicIncentive",0,7,50.1245357151875,7.7697386018807,0,0,1010
"42","economicIncentive",0,8,48.2617515375427,7.74674550259838,0,0,1010
"43","economicIncentive",0,9,46.4878344377799,7.45746306838848,0,0,1010
"44","economicIncentive",0,10,46.2315949049954,7.80854190270198,0,0,1010
"45","economicIncentive",1,0,95.9255643564356,13.6240615711711,36.5960396039604,482.688118811881,1010
"46","economicIncentive",1,1,54.5311049887108,7.6034443437786,240.980198019802,287.592079207921,1010
"47","economicIncentive",1,2,49.0630968004367,6.8673488069772,269.171287128713,250.926732673267,1010
"48","economicIncentive",1,3,48.5223637055649,7.89239416289783,287.446534653465,253.908910891089,1010
"49","economicIncentive",1,4,47.1669976022099,7.94595595113875,274.40396039604,240.141584158416,1010
"50","economicIncentive",1,5,50.2672164847882,8.43064230865301,267.544554455446,266.457425742574,1010
"51","economicIncentive",1,6,48.1064644241174,8.0410349391411,278.793069306931,240.180198019802,1010
"52","economicIncentive",1,7,48.1046563953273,7.39661552388453,268.867326732673,247.215841584158,1010
"53","economicIncentive",1,8,47.7742345535379,8.14877910816578,291.483168316832,250.569306930693,1010
"54","economicIncentive",1,9,46.7115038997614,8.01837984270032,282.374257425743,230.190099009901,1010
"55","economicIncentive",1,10,46.318563415211,7.63095964514911,290.574257425743,235.188118811881,1010
"56","economicIncentive",2,0,95.9672821782178,13.4616305252004,9.69009900990099,114.458415841584,1010
"57","economicIncentive",2,1,53.5536696835527,7.17592410203981,59.1504950495049,61.1138613861386,1010
"58","economicIncentive",2,2,50.4057189910935,8.45596560717091,60.4336633663366,53.5089108910891,1010
"59","economicIncentive",2,3,50.6984387941082,8.88686158781329,63.0683168316832,54.6980198019802,1010
"60","economicIncentive",2,4,48.396784523292,6.57576712718402,67.5168316831683,58.3861386138614,1010
"61","economicIncentive",2,5,50.1694838676073,7.52254006957004,63.2059405940594,62.3425742574257,1010
"62","economicIncentive",2,6,48.6654349811256,8.17570849361514,72.0079207920792,62.4910891089109,1010
"63","economicIncentive",2,7,47.7663669137173,7.6001046073417,67.0514851485149,56.6821782178218,1010
"64","economicIncentive",2,8,48.1471443049306,6.81837448049136,63.4009900990099,61.6287128712871,1010
"65","economicIncentive",2,9,50.996134636497,8.33185490003186,58.3811881188119,60.1613861386139,1010
"66","economicIncentive",2,10,47.3620522567901,7.38082992265052,76.2158415841584,57.209900990099,1010
"67","legalPolicy",0,0,95.8732425742574,13.657288738414,0,0,1010
"68","legalPolicy",0,1,40.6360087901844,2.76815985075946,0,0,1010
"69","legalPolicy",0,2,20.8522515390619,0.616276044189457,0,0,1010
"70","legalPolicy",0,3,14.0144360374535,1.2408151149437,0,0,1010
"71","legalPolicy",0,4,10.5655116470251,1.53391331735444,0,0,1010
"72","legalPolicy",0,5,8.49132511298063,1.70744924481597,0,0,1010
"73","legalPolicy",0,6,7.10242513569935,1.85446379391477,0,0,1010
"74","legalPolicy",0,7,6.11371068449249,1.9422437296155,0,0,1010
"75","legalPolicy",0,8,5.35012558229347,1.94010447490548,0,0,1010
"76","legalPolicy",0,9,4.77559122229161,2.00437474273952,0,0,1010
"77","legalPolicy",0,10,4.31345323203189,2.03174373802426,0,0,1010
"78","legalPolicy",1,0,95.9735445544554,13.4937898560186,33.5821782178218,472.624752475248,1010
"79","legalPolicy",1,1,40.9106731303779,2.93211747574026,307.428712871287,219.110891089109,1010
"80","legalPolicy",1,2,20.852933789954,0.545234074649321,415.574257425743,111.162376237624,1010
"81","legalPolicy",1,3,14.0409832116968,1.2847376612805,446.19504950495,82.1811881188119,1010
"82","legalPolicy",1,4,10.5512850274112,1.6183617846853,452.371287128713,54.9267326732673,1010
"83","legalPolicy",1,5,8.45640641118116,1.64428875683056,477.920792079208,46.4148514851485,1010
"84","legalPolicy",1,6,7.07913835874626,1.84132128761439,490.261386138614,39.0613861386139,1010
"85","legalPolicy",1,7,6.07816903543091,1.89169323211462,473.227722772277,32.2584158415842,1010
"86","legalPolicy",1,8,5.35065008430509,2.0003457472838,498.838613861386,30.2574257425743,1010
"87","legalPolicy",1,9,4.74805432145867,1.88056971507252,486.5,24.8237623762376,1010
"88","legalPolicy",1,10,4.28510382831912,2.03506189487985,509.118811881188,23.419801980198,1010
"89","legalPolicy",2,0,95.9490891089109,13.466137623665,11.9039603960396,121.034653465347,1010
