"","npar","Sum Sq","Mean Sq","F value"
"intervention_type",5,126666005.589069,25333201.1178139,288523.14750437
"intervention_intensity",1,22418.896119791,22418.896119791,255.331745955593
"factor(environmentType)",2,0.201982320238058,0.100991160119029,0.00115020155771671
"intervention_type:intervention_intensity",5,7791141.26007333,1558228.25201467,17746.8657715492
"intervention_type:factor(environmentType)",10,10011.227230098,1001.1227230098,11.401917891767
"intervention_intensity:factor(environmentType)",2,0.511724118483224,0.255862059241612,0.00291404652400715
"intervention_type:intervention_intensity:factor(environmentType)",10,1872.86032894418,187.286032894418,2.13302517289483
